Department,Course Number,Course Title,Course Description,Terms,Units,Instructors
GSB,ACCT 212,Strategic Performance Management,This course provides an introduction to the concepts and tools of managerial accounting. The first part of the course covers alternative costing methods and illustrates how the resulting cost information can be used to analyze the profitability of individual products and customers. The second part of the course will examine the role of internal accounting systems in evaluating the performance of individual business segments and divisions of the firm. Included in this part are topics related to the choice of internal pricing methods for transferring goods and services across divisions of the firm and the use of financial metrics for assessing the profitability of these divisions.,Spr,2,"; Kepler, J. (PI); Long, M. (GP)"
GSB,ACCT 220,Compensating Talent,"Designing efficient compensation schemes is essential for attracting, retaining, and motivating talent over time. Through cases, homework assignments, and classroom discussion, this course provides an overview of efficient compensation schemes across industries, corporate structures  and functions. We discuss the economic trade-offs (and best practices) behind the compensation schemes used to reward talent across industries, including CEOs, hedge fund managers, venture capitalists, consulting partners, entertainers, and professional athletes. The learning objectives are: (1) to understand the overall structure and individual components of compensation schemes and the incentive role that each component plays, (2) to discuss the pros and cons of alternative performance measurement systems and 3) to help you design an optimal compensation scheme based on the relevant economic environment. This course combines lectures and discussions with industry specialists.",Spr,3,"; Marinovic, I. (PI); Singer, D. (SI); Smeton, K. (GP)"
GSB,ACCT 313,Financial Statement Analysis,"This course is designed to develop students' ability to interpret and use financial accounting information across various economic decision contexts. The perspective taken is that of an outsider relying on publicly-available financial information for investment, credit, and strategic decision-making purposes. The course relies heavily upon financial statement analysis tools and the economic profit-based valuation framework. Through lectures, in-depth case studies, and real-time exercises, the first half of the course covers traditional financial statement analysis-based tools for critically analyzing and assessing a firm's current financial performance and economic condition, including ratio analysis, accounting quality analysis, and financial distress / bankruptcy prediction models. The second half of the course introduces an accounting-based valuation framework and develops the link between financial statement analysis, firm performance, and firm value. The capstone to the course is the completion of a comprehensive, real-time analysis and valuation of a publicly traded firm (or registered IPO candidate).  The course is structured for students to gain a deeper understanding of the economic pressures behind the valuation creation and valuation process. The course will be useful to those students who anticipate making investment or credit decisions at least partially based on historical and prospective financial statement information, and those who want to have a better understanding of how to use financial information to assess whether and how any organization is creating value through its operations and strategic actions.",Spr,3,"; Piotroski, J. (PI); Woodhall, E. (GP)"
GSB,ACCT 317,"Performance Measurement, Compensation, and Governance","The course will examine the academic and professional controversies surrounding corporate governance and executive compensation. A basic framework will be developed to integrate the many important dimensions of corporate governance in the U.S. and international settings. The institutional features of corporate governance and executive compensation will be documented using the professional business and legal literatures. In addition, the scientific research in accounting, economics, finance, and organizational behavior will be used to provide insights into the measurement and consequences of observed corporate governance and executive compensation choices. After successfully finishing the course, a student should be able to (i) understand the debates about appropriate choices for corporate governance and executive compensation and (ii) critically evaluate the implications of academic and professional research studies on these controversial issues. The course will also feature a variety of guest speakers--likely four or five--who will share their expertise regarding timely and practical governance issues.",Spr,3,"; Armstrong, C. (PI); Shaker, S. (GP)"
GSB,ACCT 340,Alphanomics: Informational Arbitrage in Equity Markets,"This is an advanced elective course on the economics of active investing in public equity markets, with a focus on analyzing financial statement data. Specifically, the course material is designed to improve student skills in: (1) assessing the relative attractiveness of individual companies using financial statement analysis, (2) building stock screens to filter and rank firms based on real, up-to-date financial data for both long and short positions, and (3) monitoring and managing portfolio risk. There will be a number of individual cases and a final group project. 30% of the grade will be based on class participation, and 70% will be based on cases and a final project. There is no final exam. Because it is an advanced elective, students taking this class are expected to be well versed in the core economics, accounting, and finance skills.",Spr,3,"; Smith, K. (PI); Long, M. (GP)"
GSB,ACCT 535,AI2,"This course, Artificial Intelligence and Accounting Information, focuses on understanding the applications of Artificial Intelligence (AI) in the realm of financial information, emphasizing recent AI innovations such as Large Language Models (LLMs) and AI Agents. The financial information environment surrounding corporations involves processing vast amounts of data to generate documents like 10-K reports, earnings calls, analyst reports, and press releases. Key topics include techniques for effectively communicating with LLMs (e.g., Prompt engineering), methods for constructing and utilizing representations (e.g., Embedding), strategies for contextualizing AI-generated responses (e.g., Retrieval-Augmented Generation), and understanding the limitations of AI. The course covers the economic framework, real-world examples, hands-on exercises, and AI governance considerations. Multiple guest speakers will share their expertise, and lectures will be integrated with exercises to provide a comprehensive learning experience.",Spr,2,"; Choi, J. (PI); Keppler, A. (SI); McCool, T. (GP)"
GSB,ACCT 610,Seminar in Empirical Accounting Research,"Empirical Research on Corporate Reporting: This doctoral-level course covers research on the role of financial and non-financial information in capital and labor markets. The focus is on introducing students to key themes in empirical accounting and capital markets research, and to key research designs applied to examine information-related questions. Course topics include the informational role of financial reports, accounting measurement attributes, earnings management, earnings quality, environmental, social, and governance-related disclosures and the role of key actors in the reporting environment, including management, investors, auditors, analysts, employees, and regulators. The course is interdisciplinary in nature. The readings focus on research design, and key theories, themes and approaches from the accounting, finance, economics, and psychology literature. Our overall goal is develop your understanding of existing research and its strengths and limitations, and to identify new research opportunities.",Spr,3,"; Choi, J. (PI); McCool, T. (GP)"
GSB,ACCT 611,Disclosure and Financial Markets,"This course provides a broad overview of the economic theories of corporate disclosure, with a focus on the effects that these disclosures have on financial markets. The range of topics we will study includes: voluntary disclosure, earnings management, cheap talk, reputation games, and disclosure's impact on trade, investor welfare, and asset prices.",Spr,3,"; Smith, K. (PI); Long, M. (GP)"
GSB,ACCT 615,Selected Topics in Empirical Accounting Research,"This course examines selected topics in accounting research.  The course features three faculty who will each give a focused look at a given area, introduce students to important questions in that area, key papers in the related literature, and critical aspects of the research designs applied in the area.  The aim is to increase student's familiarity with empirical accounting research, their ability to critically evaluate research and research designs, and to prepare students to conduct independent research.",Spr,3,"; Kasznik, R. (PI); Rivera, S. (GP)"
GSB,ACCT 617,Applications of Contract Theory in Accounting Research,"This course develops tools from information economics to study the strategic interactions between different agents inside a firm. Common to these studies is that agents acquire private information that is valuable to other parties. The range of applications includes: centralization vs delegation, static and dynamic contracting under moral hazard, Bayesian persuasion, and the optimal design of monitoring/auditing mechanisms.",Spr,3,"; Marinovic, I. (PI); Smeton, K. (GP)"
GSB,ACCT 620,PhD Accounting Research Lab,"The main goal of the PhD Accounting Research Lab is to help Ph.D. students transition from coursework to research and to make progress on developing their dissertations. Students actively work on a research project throughout the year, regularly present their updates, receive feedback from faculty and students, and provide feedback to each other. Secondary goals are to help PhD students learn to present and critique research.","Aut, Win, Spr",1,"; Kepler, J. (PI); Nagel, F. (SI); Long, M. (GP)"
GSB,ACCT 691,"PhD Directed Reading (FINANCE 691, GSBGEN 691, HRMGT 691, MGTECON 691, MKTG 691, OB 691, OIT 691, POLECON 691, STRAMGT 691)","This course is offered for students requiring specialized training in an area not covered by existing courses. To register, a student must obtain permission from the faculty member who is willing to supervise the reading.","Aut, Win, Spr, Sum",1-15,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Nagel, F. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI); Bagalso, R. (GP); Jimenez, F. (GP); Long, M. (GP); Rivera, S. (GP); Shaker, S. (GP); Woodhall, E. (GP)"
GSB,ACCT 692,"PhD Dissertation Research (FINANCE 692, GSBGEN 692, HRMGT 692, MGTECON 692, MKTG 692, OB 692, OIT 692, POLECON 692, STRAMGT 692)","This course is elected as soon as a student is ready to begin research for the dissertation, usually shortly after admission to candidacy. To register, a student must obtain permission from the faculty member who is willing to supervise the research.","Aut, Win, Spr, Sum",1-15,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Nagel, F. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI); Long, M. (GP)"
GSB,ACCT 698,Doctoral Practicum in Teaching,Doctoral Practicum in Teaching,"Aut, Win, Spr, Sum",1,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Nagel, F. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI)"
GSB,ACCT 699,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Nagel, F. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI); Long, M. (GP); Molina, E. (GP); Rivera, S. (GP); Shaker, S. (GP); Woodhall, E. (GP)"
GSB,ALP 303,Analysis and Measurement of Impact,"This team-based course, part of the GSB's Action Learning Program, provides students the opportunity to work with organizations that are focused on achieving impact, including impact for-profits, investment funds, and evaluators. Topics include current trends and drivers in the impact space, frameworks for measuring impact, financial instruments and techniques for achieving impact, analysis of impact fundamentals, organizational structures for impact, and challenges in fundraising for impact businesses. Students work on projects to analyze impact investments including private equity and fixed income products, assess the financial viability of an impact business, develop equitable alternative risk assessment metrics, model the economic and social value of outcomes, and evaluate the impacts of an organization. This course provides real-world opportunities for students to learn research-validated foundations, tools, and practices; apply these tools and learnings to a real project for an external organization; create value for the organization by providing insights and deliverables; and be an ambassador to the organization by exposing them to the talent, values, and expertise of the GSB. Students also have the opportunity to gain practical industry experience and exposure to the organization, its industry, and the space in which it operates; build relationships in the organization and industry; and gain an understanding of related career paths.",Spr,4,"; Foroughi, J. (PI); Dubon, M. (GP)"
GSB,FINANCE 306,International Finance and Macroeconomics,"An introduction to the global economy. We will cover a number of important topics for firms, banks, and policy makers: global capital flows, international financial markets, the role of the U.S. and US dollar in the international monetary system, reserve currencies history and future (stable coins?), exchange rates (floating, fixed, and monetary unions), financial crises, international financial policy (capital controls, bank regulation, FX intervention), currency wars, tax havens and global wealth dynamics, global trade, and trade wars. Emphasis will be on data driven approaches, no prior knowledge is assumed. An MBA class designed for those looking to understand today's global economic issues.","Win, Spr",3,"; Coppola, A. (PI); Maggiori, M. (PI); Molina, E. (GP)"
GSB,FINANCE 341,Modeling for Investment Management,"This course will combine practical and up-to-date investment theory with modeling applications. Understanding beautiful theory, without the ability to apply it, is essentially useless. Conversely, creating state-of-the-art spreadsheets that apply incorrect theory is a waste of time. Here, we try to explicitly combine theory and application. The course will be divided into 6 modules, or topics. The first day of each module will be a lecture on an investment topic. Also provided is a team modeling project on the topic. The second day of each module will be a lab. The lab day will begin with modeling concepts (tips) designed to help you use Excel to implement the module's investment topic. After the tips are provided, the remainder of the lab day is devoted to teams working on their modeling project and allowing for Q&A. On the third day of each module will be presentations and wrap-up.",Spr,3,"; Grenadier, S. (PI); Watson, J. (SI); Fajardo Montes, M. (GP)"
GSB,FINANCE 347,Money and Banking,"This course is designed to help students understand the connections between money (the Federal Reserve), financial markets, and the macroeconomy. How are interest rates determined, and how does the Federal Reserve conduct monetary policy? How do Federal Reserve actions impact the US as well as other economies? What economic factors drive the yield curves in different bond markets? We will pay particular attention to the banking system, with an eye toward understanding the function, valuation, and regulation of banks. We touch on a number of topics including the role of the Federal Reserve as a lender of last resort during financial crises, unconventional monetary policy tools such as quantitative easing and forward guidance, cryptocurrency, and emerging market financial crises. We will often begin class with a discussion of current macro-financial market events in the context of our course coverage.",Spr,3,"; Krishnamurthy, A. (PI); Dubon, M. (GP)"
