Date,Breakfast,Lunch,Dinner,Snacks
2025-01-20,"Peanut butter & honey sandwich, milk, chocolate",Grilled chicken salad with avocado and vinaigrette,Baked salmon with quinoa and steamed broccoli,Apple and almonds
2025-01-21,"Bagel with cream cheese, milk, walnuts",Vegetable stir-fry with tofu and brown rice,Vegetable curry with basmati rice,Carrot sticks with hummus
2025-01-22,"Oatmeal with berries, almonds, and honey",Turkey sandwich with Swiss cheese and lettuce,Grilled steak with mashed sweet potatoes and spinach,Banana with peanut butter
2025-01-23,"Scrambled eggs, whole wheat toast, orange juice",Lentil soup with whole grain bread,Chickpea stew with whole wheat flatbread,Cheese and whole grain crackers
2025-01-24,Greek yogurt with granola and honey,Pasta with marinara sauce and roasted vegetables,Roast chicken with couscous and sautéed greens,Greek yogurt with honey
2025-01-25,"Peanut butter & honey sandwich, milk, chocolate",Grilled chicken salad with avocado and vinaigrette,Baked salmon with quinoa and steamed broccoli,Apple and almonds
2025-01-26,"Bagel with cream cheese, milk, walnuts",Vegetable stir-fry with tofu and brown rice,Vegetable curry with basmati rice,Carrot sticks with hummus
2025-01-27,"Oatmeal with berries, almonds, and honey",Turkey sandwich with Swiss cheese and lettuce,Grilled steak with mashed sweet potatoes and spinach,Banana with peanut butter
2025-01-28,"Scrambled eggs, whole wheat toast, orange juice",Lentil soup with whole grain bread,Chickpea stew with whole wheat flatbread,Cheese and whole grain crackers
2025-01-29,Greek yogurt with granola and honey,Pasta with marinara sauce and roasted vegetables,Roast chicken with couscous and sautéed greens,Greek yogurt with honey
2025-01-30,"Peanut butter & honey sandwich, milk, chocolate",Grilled chicken salad with avocado and vinaigrette,Baked salmon with quinoa and steamed broccoli,Apple and almonds
2025-01-31,"Bagel with cream cheese, milk, walnuts",Vegetable stir-fry with tofu and brown rice,Vegetable curry with basmati rice,Carrot sticks with hummus
2025-02-01,"Oatmeal with berries, almonds, and honey",Turkey sandwich with Swiss cheese and lettuce,Grilled steak with mashed sweet potatoes and spinach,Banana with peanut butter
2025-02-02,"Scrambled eggs, whole wheat toast, orange juice",Lentil soup with whole grain bread,Chickpea stew with whole wheat flatbread,Cheese and whole grain crackers
2025-02-03,Greek yogurt with granola and honey,Pasta with marinara sauce and roasted vegetables,Roast chicken with couscous and sautéed greens,Greek yogurt with honey
2025-02-04,"Peanut butter & honey sandwich, milk, chocolate",Grilled chicken salad with avocado and vinaigrette,Baked salmon with quinoa and steamed broccoli,Apple and almonds
2025-02-05,"Bagel with cream cheese, milk, walnuts",Vegetable stir-fry with tofu and brown rice,Vegetable curry with basmati rice,Carrot sticks with hummus
2025-02-06,"Oatmeal with berries, almonds, and honey",Turkey sandwich with Swiss cheese and lettuce,Grilled steak with mashed sweet potatoes and spinach,Banana with peanut butter
2025-02-07,"Scrambled eggs, whole wheat toast, orange juice",Lentil soup with whole grain bread,Chickpea stew with whole wheat flatbread,Cheese and whole grain crackers
2025-02-08,Greek yogurt with granola and honey,Pasta with marinara sauce and roasted vegetables,Roast chicken with couscous and sautéed greens,Greek yogurt with honey
2025-02-09,"Peanut butter & honey sandwich, milk, chocolate",Grilled chicken salad with avocado and vinaigrette,Baked salmon with quinoa and steamed broccoli,Apple and almonds
2025-02-10,"Bagel with cream cheese, milk, walnuts",Vegetable stir-fry with tofu and brown rice,Vegetable curry with basmati rice,Carrot sticks with hummus
2025-02-11,"Oatmeal with berries, almonds, and honey",Turkey sandwich with Swiss cheese and lettuce,Grilled steak with mashed sweet potatoes and spinach,Banana with peanut butter
2025-02-12,"Scrambled eggs, whole wheat toast, orange juice",Lentil soup with whole grain bread,Chickpea stew with whole wheat flatbread,Cheese and whole grain crackers
2025-02-13,Greek yogurt with granola and honey,Pasta with marinara sauce and roasted vegetables,Roast chicken with couscous and sautéed greens,Greek yogurt with honey
2025-02-14,"Peanut butter & honey sandwich, milk, chocolate",Grilled chicken salad with avocado and vinaigrette,Baked salmon with quinoa and steamed broccoli,Apple and almonds
2025-02-15,"Bagel with cream cheese, milk, walnuts",Vegetable stir-fry with tofu and brown rice,Vegetable curry with basmati rice,Carrot sticks with hummus
2025-02-16,"Oatmeal with berries, almonds, and honey",Turkey sandwich with Swiss cheese and lettuce,Grilled steak with mashed sweet potatoes and spinach,Banana with peanut butter
2025-02-17,"Scrambled eggs, whole wheat toast, orange juice",Lentil soup with whole grain bread,Chickpea stew with whole wheat flatbread,Cheese and whole grain crackers
2025-02-18,Greek yogurt with granola and honey,Pasta with marinara sauce and roasted vegetables,Roast chicken with couscous and sautéed greens,Greek yogurt with honey
2025-02-19,"Peanut butter & honey sandwich, milk, chocolate",Grilled chicken salad with avocado and vinaigrette,Baked salmon with quinoa and steamed broccoli,Apple and almonds
2025-02-20,"Bagel with cream cheese, milk, walnuts",Vegetable stir-fry with tofu and brown rice,Vegetable curry with basmati rice,Carrot sticks with hummus
2025-02-21,"Oatmeal with berries, almonds, and honey",Turkey sandwich with Swiss cheese and lettuce,Grilled steak with mashed sweet potatoes and spinach,Banana with peanut butter
2025-02-22,"Scrambled eggs, whole wheat toast, orange juice",Lentil soup with whole grain bread,Chickpea stew with whole wheat flatbread,Cheese and whole grain crackers
2025-02-23,Greek yogurt with granola and honey,Pasta with marinara sauce and roasted vegetables,Roast chicken with couscous and sautéed greens,Greek yogurt with honey
